topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-24 05:02:50,712 | Consume TPS: 6087 | AVG(B2C) RT(ms):   2.257 | AVG(S2C) RT(ms):   1.628 | MAX(B2C) RT(ms): 37 | MAX(S2C) RT(ms): 36 | Consume Fail: 0
Current Time: 2026-08-24 05:03:00,712 | Consume TPS: 6147 | AVG(B2C) RT(ms):   2.144 | AVG(S2C) RT(ms):   1.521 | MAX(B2C) RT(ms): 199 | MAX(S2C) RT(ms): 199 | Consume Fail: 0
Current Time: 2026-08-24 05:03:10,712 | Consume TPS: 6020 | AVG(B2C) RT(ms):   2.585 | AVG(S2C) RT(ms):   1.945 | MAX(B2C) RT(ms): 36 | MAX(S2C) RT(ms): 35 | Consume Fail: 0
Current Time: 2026-08-24 05:03:20,712 | Consume TPS: 6046 | AVG(B2C) RT(ms):   2.219 | AVG(S2C) RT(ms):   1.581 | MAX(B2C) RT(ms): 26 | MAX(S2C) RT(ms): 25 | Consume Fail: 0
Current Time: 2026-08-24 05:03:30,712 | Consume TPS: 6103 | AVG(B2C) RT(ms):   2.351 | AVG(S2C) RT(ms):   1.722 | MAX(B2C) RT(ms): 47 | MAX(S2C) RT(ms): 46 | Consume Fail: 0
Current Time: 2026-08-24 05:03:40,712 | Consume TPS: 6143 | AVG(B2C) RT(ms):   2.158 | AVG(S2C) RT(ms):   1.535 | MAX(B2C) RT(ms): 14 | MAX(S2C) RT(ms): 12 | Consume Fail: 0
Current Time: 2026-08-24 05:03:50,712 | Consume TPS: 6080 | AVG(B2C) RT(ms):   2.153 | AVG(S2C) RT(ms):   1.519 | MAX(B2C) RT(ms): 39 | MAX(S2C) RT(ms): 37 | Consume Fail: 0
Current Time: 2026-08-24 05:04:00,712 | Consume TPS: 6118 | AVG(B2C) RT(ms):   2.344 | AVG(S2C) RT(ms):   1.717 | MAX(B2C) RT(ms): 44 | MAX(S2C) RT(ms): 43 | Consume Fail: 0
Current Time: 2026-08-24 05:04:10,712 | Consume TPS: 6115 | AVG(B2C) RT(ms):   2.172 | AVG(S2C) RT(ms):   1.537 | MAX(B2C) RT(ms): 14 | MAX(S2C) RT(ms): 12 | Consume Fail: 0
Current Time: 2026-08-24 05:04:20,712 | Consume TPS: 5960 | AVG(B2C) RT(ms):   4.938 | AVG(S2C) RT(ms):   4.289 | MAX(B2C) RT(ms): 282 | MAX(S2C) RT(ms): 280 | Consume Fail: 0
Current Time: 2026-08-24 05:04:30,712 | Consume TPS: 6094 | AVG(B2C) RT(ms):   2.253 | AVG(S2C) RT(ms):   1.617 | MAX(B2C) RT(ms): 26 | MAX(S2C) RT(ms): 26 | Consume Fail: 0
Current Time: 2026-08-24 05:04:40,712 | Consume TPS: 6084 | AVG(B2C) RT(ms):   2.681 | AVG(S2C) RT(ms):   2.043 | MAX(B2C) RT(ms): 329 | MAX(S2C) RT(ms): 329 | Consume Fail: 0
Current Time: 2026-08-24 05:04:50,712 | Consume TPS: 6117 | AVG(B2C) RT(ms):   2.184 | AVG(S2C) RT(ms):   1.551 | MAX(B2C) RT(ms): 12 | MAX(S2C) RT(ms): 11 | Consume Fail: 0
Current Time: 2026-08-24 05:05:00,712 | Consume TPS: 6111 | AVG(B2C) RT(ms):   2.166 | AVG(S2C) RT(ms):   1.536 | MAX(B2C) RT(ms): 36 | MAX(S2C) RT(ms): 35 | Consume Fail: 0
Current Time: 2026-08-24 05:05:10,712 | Consume TPS: 6122 | AVG(B2C) RT(ms):   2.336 | AVG(S2C) RT(ms):   1.704 | MAX(B2C) RT(ms): 150 | MAX(S2C) RT(ms): 149 | Consume Fail: 0
Current Time: 2026-08-24 05:05:20,712 | Consume TPS: 6087 | AVG(B2C) RT(ms):   3.783 | AVG(S2C) RT(ms):   3.153 | MAX(B2C) RT(ms): 119 | MAX(S2C) RT(ms): 119 | Consume Fail: 0
Current Time: 2026-08-24 05:05:30,712 | Consume TPS: 6122 | AVG(B2C) RT(ms):   2.254 | AVG(S2C) RT(ms):   1.627 | MAX(B2C) RT(ms): 40 | MAX(S2C) RT(ms): 39 | Consume Fail: 0
Current Time: 2026-08-24 05:05:40,712 | Consume TPS: 6148 | AVG(B2C) RT(ms):   2.162 | AVG(S2C) RT(ms):   1.536 | MAX(B2C) RT(ms): 15 | MAX(S2C) RT(ms): 14 | Consume Fail: 0
Current Time: 2026-08-24 05:05:50,712 | Consume TPS: 6100 | AVG(B2C) RT(ms):   2.217 | AVG(S2C) RT(ms):   1.582 | MAX(B2C) RT(ms): 29 | MAX(S2C) RT(ms): 28 | Consume Fail: 0
