RESULT GP-Aseek-t1 seekrandom   :      77.360 micros/op 12926 ops/sec 38.680 seconds 500000 operations;   14.3 MB/s (408308 of 500000 found)
RESULT SP-Bread-t1 readrandom   :      13.615 micros/op 73449 ops/sec 27.229 seconds 2000000 operations;    8.1 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek-t1 seekrandom   :      68.798 micros/op 14535 ops/sec 34.399 seconds 500000 operations;   16.1 MB/s (408308 of 500000 found)
RESULT V2-Bread-t1 readrandom   :      12.516 micros/op 79898 ops/sec 25.032 seconds 2000000 operations;    8.8 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek-t1 seekrandom   :      64.978 micros/op 15389 ops/sec 32.489 seconds 500000 operations;   17.0 MB/s (408308 of 500000 found)
RESULT V5-Bread-t1 readrandom   :      12.678 micros/op 78877 ops/sec 25.356 seconds 2000000 operations;    8.7 MB/s (2000000 of 2000000 found)
RESULT V5-Aseek-t1 seekrandom   :      66.074 micros/op 15134 ops/sec 33.037 seconds 500000 operations;   16.7 MB/s (408308 of 500000 found)
RESULT GP-Bread-t1 readrandom   :      14.166 micros/op 70590 ops/sec 28.333 seconds 2000000 operations;    7.8 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek-t1 seekrandom   :      74.764 micros/op 13375 ops/sec 37.382 seconds 500000 operations;   14.8 MB/s (408308 of 500000 found)
RESULT SP-Bread-t1 readrandom   :      13.916 micros/op 71857 ops/sec 27.833 seconds 2000000 operations;    7.9 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek-t1 seekrandom   :      68.877 micros/op 14518 ops/sec 34.438 seconds 500000 operations;   16.1 MB/s (408308 of 500000 found)
RESULT V2-Bread-t1 readrandom   :      11.751 micros/op 85102 ops/sec 23.501 seconds 2000000 operations;    9.4 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek-t1 seekrandom   :      65.566 micros/op 15251 ops/sec 32.783 seconds 500000 operations;   16.9 MB/s (408308 of 500000 found)
RESULT V5-Bread-t1 readrandom   :      12.474 micros/op 80167 ops/sec 24.948 seconds 2000000 operations;    8.9 MB/s (2000000 of 2000000 found)
RESULT V5-Aseek-t1 seekrandom   :      66.559 micros/op 15024 ops/sec 33.280 seconds 500000 operations;   16.6 MB/s (408308 of 500000 found)
RESULT GP-Bread-t1 readrandom   :      14.148 micros/op 70682 ops/sec 28.296 seconds 2000000 operations;    7.8 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek-t1 seekrandom   :      75.067 micros/op 13321 ops/sec 37.534 seconds 500000 operations;   14.7 MB/s (408308 of 500000 found)
