RESULT V3-Bread-t1 readrandom   :      14.036 micros/op 71243 ops/sec 28.073 seconds 2000000 operations;    7.9 MB/s (2000000 of 2000000 found)
RESULT V3-Aseek-t1 seekrandom   :      65.846 micros/op 15186 ops/sec 32.923 seconds 500000 operations;   16.8 MB/s (408308 of 500000 found)
RESULT GP-Bread-t1 readrandom   :      14.198 micros/op 70430 ops/sec 28.397 seconds 2000000 operations;    7.8 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek-t1 seekrandom   :      74.783 micros/op 13372 ops/sec 37.392 seconds 500000 operations;   14.8 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      15.835 micros/op 63151 ops/sec 31.670 seconds 2000000 operations;    7.0 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      80.760 micros/op 12382 ops/sec 40.380 seconds 500000 operations;   13.7 MB/s (408308 of 500000 found)
RESULT SP-Bread-t1 readrandom   :      14.062 micros/op 71111 ops/sec 28.125 seconds 2000000 operations;    7.9 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek-t1 seekrandom   :      66.384 micros/op 15063 ops/sec 33.192 seconds 500000 operations;   16.7 MB/s (408308 of 500000 found)
RESULT V1-Bread-t1 readrandom   :      14.172 micros/op 70563 ops/sec 28.343 seconds 2000000 operations;    7.8 MB/s (2000000 of 2000000 found)
RESULT V1-Aseek-t1 seekrandom   :      67.143 micros/op 14893 ops/sec 33.572 seconds 500000 operations;   16.5 MB/s (408308 of 500000 found)
RESULT V3-Bread-t1 readrandom   :      13.965 micros/op 71609 ops/sec 27.929 seconds 2000000 operations;    7.9 MB/s (2000000 of 2000000 found)
RESULT V3-Aseek-t1 seekrandom   :      67.138 micros/op 14894 ops/sec 33.569 seconds 500000 operations;   16.5 MB/s (408308 of 500000 found)
RESULT GP-Bread-t1 readrandom   :      14.273 micros/op 70064 ops/sec 28.545 seconds 2000000 operations;    7.8 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek-t1 seekrandom   :      74.341 micros/op 13451 ops/sec 37.170 seconds 500000 operations;   14.9 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      16.229 micros/op 61616 ops/sec 32.459 seconds 2000000 operations;    6.8 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      77.344 micros/op 12929 ops/sec 38.672 seconds 500000 operations;   14.3 MB/s (408308 of 500000 found)
RESULT SP-Bread-t1 readrandom   :      13.932 micros/op 71777 ops/sec 27.864 seconds 2000000 operations;    7.9 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek-t1 seekrandom   :      66.217 micros/op 15101 ops/sec 33.109 seconds 500000 operations;   16.7 MB/s (408308 of 500000 found)
RESULT V1-Bread-t1 readrandom   :      13.942 micros/op 71725 ops/sec 27.884 seconds 2000000 operations;    7.9 MB/s (2000000 of 2000000 found)
RESULT V1-Aseek-t1 seekrandom   :      68.660 micros/op 14564 ops/sec 34.330 seconds 500000 operations;   16.1 MB/s (408308 of 500000 found)
RESULT V3-Bread-t1 readrandom   :      13.584 micros/op 73614 ops/sec 27.169 seconds 2000000 operations;    8.1 MB/s (2000000 of 2000000 found)
RESULT V3-Aseek-t1 seekrandom   :      67.037 micros/op 14917 ops/sec 33.518 seconds 500000 operations;   16.5 MB/s (408308 of 500000 found)
RESULT GP-Bread-t1 readrandom   :      14.612 micros/op 68434 ops/sec 29.225 seconds 2000000 operations;    7.6 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek-t1 seekrandom   :      75.627 micros/op 13222 ops/sec 37.814 seconds 500000 operations;   14.6 MB/s (408308 of 500000 found)
