RESULT nopref-Aseek seekrandom   :      87.202 micros/op 90617 ops/sec 44.142 seconds 4000000 operations;  100.2 MB/s (408308 of 500000 found)
RESULT fullF-Aseek seekrandom   :      88.708 micros/op 89528 ops/sec 44.679 seconds 4000000 operations;   99.0 MB/s (408308 of 500000 found)
RESULT fullF-Bread readrandom   :      12.829 micros/op 464095 ops/sec 34.476 seconds 16000000 operations;   34.8 MB/s (2000000 of 2000000 found)
RESULT nopref-Bread readrandom   :      13.039 micros/op 458106 ops/sec 34.926 seconds 16000000 operations;   34.4 MB/s (2000000 of 2000000 found)
RESULT fullF-Aseek seekrandom   :      88.004 micros/op 90034 ops/sec 44.427 seconds 4000000 operations;   99.6 MB/s (408308 of 500000 found)
RESULT nopref-Aseek seekrandom   :      88.133 micros/op 90161 ops/sec 44.365 seconds 4000000 operations;   99.7 MB/s (408308 of 500000 found)
RESULT nopref-Bread readrandom   :      12.869 micros/op 460337 ops/sec 34.757 seconds 16000000 operations;   34.5 MB/s (2000000 of 2000000 found)
RESULT fullF-Bread readrandom   :      12.753 micros/op 462641 ops/sec 34.584 seconds 16000000 operations;   34.7 MB/s (2000000 of 2000000 found)
RESULT nopref-Aseek seekrandom   :      87.639 micros/op 90775 ops/sec 44.065 seconds 4000000 operations;  100.4 MB/s (408308 of 500000 found)
RESULT fullF-Aseek seekrandom   :      91.496 micros/op 86987 ops/sec 45.984 seconds 4000000 operations;   96.2 MB/s (408308 of 500000 found)
RESULT fullF-Bread readrandom   :      12.909 micros/op 460658 ops/sec 34.733 seconds 16000000 operations;   34.6 MB/s (2000000 of 2000000 found)
RESULT nopref-Bread readrandom   :      12.854 micros/op 458133 ops/sec 34.924 seconds 16000000 operations;   34.4 MB/s (2000000 of 2000000 found)
RESULT fullF-Aseek seekrandom   :      88.904 micros/op 89450 ops/sec 44.717 seconds 4000000 operations;   99.0 MB/s (408308 of 500000 found)
RESULT nopref-Aseek seekrandom   :      88.444 micros/op 90196 ops/sec 44.348 seconds 4000000 operations;   99.8 MB/s (408308 of 500000 found)
RESULT nopref-Bread readrandom   :      12.824 micros/op 465019 ops/sec 34.407 seconds 16000000 operations;   34.9 MB/s (2000000 of 2000000 found)
RESULT fullF-Bread readrandom   :      12.828 micros/op 464042 ops/sec 34.480 seconds 16000000 operations;   34.8 MB/s (2000000 of 2000000 found)
RESULT nopref-Aseek seekrandom   :      88.609 micros/op 89722 ops/sec 44.582 seconds 4000000 operations;   99.3 MB/s (408308 of 500000 found)
RESULT fullF-Aseek seekrandom   :      87.679 micros/op 90715 ops/sec 44.094 seconds 4000000 operations;  100.4 MB/s (408308 of 500000 found)
RESULT W fillrandom   :      12.007 micros/op 83282 ops/sec 240.146 seconds 20000000 operations;    9.2 MB/s
RESULT W fillrandom   :      11.863 micros/op 84297 ops/sec 237.254 seconds 20000000 operations;    9.3 MB/s
RESULT fullF-fill-t1 fillrandom   :      12.305 micros/op 81265 ops/sec 246.106 seconds 20000000 operations;    9.0 MB/s
RESULT noxxh-fill-t1 fillrandom   :      11.951 micros/op 83675 ops/sec 239.019 seconds 20000000 operations;    9.3 MB/s
