# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 198K of event 'cycles:P'
# Event count (approx.): 949828656483
#
# Overhead  Command       Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ............  ...................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.05%  db_bench      db_bench             [.] std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::_M_gen_rand()
     0.05%  db_bench      [kernel.kallsyms]    [k] __asm_vector_usercopy
     0.05%  db_bench      db_bench             [.] rocksdb::CachableEntry<rocksdb::Block_kData>::SetCachedValue(rocksdb::Block_kData*, rocksdb::Cache*, rocksdb::Cache::Handle*)
     0.05%  db_bench      libc.so.6            [.] 0x0000000000083f90
     0.05%  db_bench      db_bench             [.] malloc_usable_size@plt
     0.05%  db_bench      db_bench             [.] rocksdb::clock_cache::BaseHyperClockCache<rocksdb::clock_cache::AutoHyperClockTable>::Value(rocksdb::Cache::Handle*)
     0.05%  db_bench      libstdc++.so.6.0.35  [.] operator delete[](void*)
     0.05%  db_bench      db_bench             [.] rocksdb::Cleanable::DelegateCleanupsTo(rocksdb::Cleanable*)
     0.05%  db_bench      libc.so.6            [.] 0x0000000000083fa4
     0.05%  db_bench      libc.so.6            [.] 0x0000000000083f9c
     0.05%  db_bench      db_bench             [.] rocksdb::GetPerfLevel()
     0.04%  db_bench      [kernel.kallsyms]    [k] folio_mark_accessed
     0.04%  db_bench      db_bench             [.] rocksdb::ComputeBuiltinChecksum(rocksdb::ChecksumType, char const*, unsigned long)
     0.04%  db_bench      [kernel.kallsyms]    [k] change_protection
     0.04%  db_bench      db_bench             [.] rocksdb::BlockFetcher::TryGetFromPrefetchBuffer()
     0.04%  db_bench      db_bench             [.] pread@plt
     0.04%  db_bench      libstdc++.so.6.0.35  [.] operator new(unsigned long)@plt
     0.04%  db_bench      db_bench             [.] rocksdb::BlockCreateContext::Create(std::unique_ptr<rocksdb::Block_kData, std::default_delete<rocksdb::Block_kData> >*, rocksdb::BlockContents&&)
     0.04%  db_bench      db_bench             [.] rocksdb::BlockBasedTable::UpdateCacheMissMetrics(rocksdb::BlockType, rocksdb::GetContext*) const
     0.04%  db_bench      db_bench             [.] rocksdb::BlockFetcher::TryGetSerializedBlockFromPersistentCache()
     0.04%  db_bench      [kernel.kallsyms]    [k] __futex_hash
     0.04%  db_bench      libc.so.6            [.] 0x0000000000084a2c
     0.04%  db_bench      [kernel.kallsyms]    [k] rw_verify_area
     0.04%  db_bench      libc.so.6            [.] 0x000000000008df5c
     0.04%  db_bench      db_bench             [.] rocksdb::Block::ApproximateMemoryUsage() const
     0.04%  db_bench      libc.so.6            [.] 0x000000000008df6a
     0.04%  db_bench      db_bench             [.] rocksdb::StopWatch::StopWatch(rocksdb::SystemClock*, rocksdb::Statistics*, unsigned int, unsigned int, unsigned long*, bool, bool)
     0.04%  db_bench      [kernel.kallsyms]    [k] perf_iterate_ctx
     0.04%  db_bench      db_bench             [.] rocksdb::BlockBasedTable::UpdateCacheInsertionMetrics(rocksdb::BlockType, rocksdb::GetContext*, unsigned long, bool, rocksdb::Statistics*)
     0.03%  db_bench      db_bench             [.] rocksdb::MemTableListVersion::Get(rocksdb::LookupKey const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, rocksdb::PinnableWideColumns*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, rocksdb::Status*, rocksdb::MergeContext*, unsigned long*, unsigned long*, rocksdb::ReadOptions const&, rocksdb::ReadCallback*, bool*)
     0.03%  db_bench      [kernel.kallsyms]    [k] make_vfsuid
     0.03%  db_bench      db_bench             [.] rocksdb::clock_cache::AutoHyperClockTable::SplitForGrow(unsigned long, unsigned long, int)
     0.03%  db_bench      libc.so.6            [.] 0x0000000000084a30
     0.03%  db_bench      [kernel.kallsyms]    [k] __handle_mm_fault
     0.03%  db_bench      db_bench             [.] rocksdb::Block::InitializeDataBlockProtectionInfo(unsigned char, rocksdb::Comparator const*)
     0.03%  db_bench      [kernel.kallsyms]    [k] mas_walk
     0.03%  db_bench      db_bench             [.] rocksdb::BasicTypedCacheHelperFns<rocksdb::Block_kData>::Delete(void*, rocksdb::MemoryAllocator*)
     0.03%  db_bench      libstdc++.so.6.0.35  [.] operator delete(void*)
     0.03%  db_bench      [kernel.kallsyms]    [k] osq_lock
     0.03%  db_bench      db_bench             [.] ROCKSDB_XXH3_64bits
     0.03%  db_bench      db_bench             [.] std::unique_ptr<char [], rocksdb::CacheAllocationDeleter>::~unique_ptr()
     0.03%  db_bench      db_bench             [.] rocksdb::ThreadLocalPtr::Swap(void*)
     0.03%  db_bench      [kernel.kallsyms]    [k] clear_page
     0.03%  db_bench      [kernel.kallsyms]    [k] do_raw_spin_lock
     0.03%  db_bench      [kernel.kallsyms]    [k] futex_ref_get
     0.03%  db_bench      db_bench             [.] std::unique_ptr<rocksdb::InternalIteratorBase<rocksdb::IndexValue>, std::default_delete<rocksdb::InternalIteratorBase<rocksdb::IndexValue> > >::~unique_ptr()
     0.03%  db_bench      libc.so.6            [.] 0x000000000008deb4
     0.03%  db_bench      [kernel.kallsyms]    [k] handle_page_fault
     0.03%  db_bench      libc.so.6            [.] 0x000000000008355e
     0.03%  db_bench      db_bench             [.] rocksdb::DataBlockIter::value() const
     0.02%  db_bench      db_bench             [.] rocksdb::clock_cache::BaseHyperClockCache<rocksdb::clock_cache::AutoHyperClockTable>::GetCharge(rocksdb::Cache::Handle*) const
     0.02%  db_bench      libstdc++.so.6.0.35  [.] malloc@plt
     0.02%  db_bench      libc.so.6            [.] 0x000000000008df60
     0.02%  db_bench      db_bench             [.] rocksdb::BlockBasedTable::TimestampMayMatch(rocksdb::ReadOptions const&) const
     0.02%  db_bench      libc.so.6            [.] 0x000000000008263e
     0.02%  db_bench      db_bench             [.] operator new(unsigned long)@plt
     0.02%  db_bench      [kernel.kallsyms]    [k] do_mprotect_pkey.constprop.0
     0.02%  db_bench      libc.so.6            [.] __lll_lock_wait_private
     0.02%  db_bench      libc.so.6            [.] 0x000000000008df86
     0.02%  db_bench      libstdc++.so.6.0.35  [.] free@plt
     0.02%  db_bench      libc.so.6            [.] 0x0000000000074f9c
     0.02%  db_bench      libc.so.6            [.] 0x000000000008df72
     0.02%  db_bench      [kernel.kallsyms]    [k] generic_file_read_iter
     0.02%  db_bench      [kernel.kallsyms]    [k] percpu_counter_add_batch
     0.02%  db_bench      libc.so.6            [.] 0x0000000000083578
     0.02%  db_bench      [kernel.kallsyms]    [k] fallback_scalar_usercopy
     0.02%  db_bench      [kernel.kallsyms]    [k] page_copy_sane
     0.02%  db_bench      [kernel.kallsyms]    [k] mas_wr_store_type
     0.02%  db_bench      libc.so.6            [.] 0x000000000008df90
     0.02%  db_bench      [kernel.kallsyms]    [k] perf_event_mmap
     0.02%  db_bench      db_bench             [.] operator delete(void*, unsigned long)@plt
     0.02%  db_bench      [kernel.kallsyms]    [k] __vma_enter_locked
     0.02%  db_bench      db_bench             [.] rocksdb::clock_cache::AutoHyperClockTable::Grow(rocksdb::clock_cache::AutoHyperClockTable::InsertState&)
     0.02%  db_bench      db_bench             [.] rocksdb::PosixRandomAccessFile::GetRequiredBufferAlignment() const
     0.02%  db_bench      libc.so.6            [.] 0x000000000008df76
     0.02%  db_bench      libc.so.6            [.] 0x0000000000083fb4
     0.02%  db_bench      libc.so.6            [.] 0x000000000007ef78
     0.02%  db_bench      [kernel.kallsyms]    [k] dynamic_cond_resched
     0.02%  db_bench      [kernel.kallsyms]    [k] get_page_from_freelist
     0.02%  db_bench      db_bench             [.] rocksdb::clock_cache::AutoHyperClockTable::CatchUpLengthInfoNoWait(unsigned long)
     0.02%  db_bench      [kernel.kallsyms]    [k] __rmqueue_pcplist
     0.02%  db_bench      libstdc++.so.6.0.35  [.] operator delete(void*, unsigned long)
     0.02%  db_bench      libstdc++.so.6.0.35  [.] operator delete(void*)@plt
     0.02%  db_bench      [kernel.kallsyms]    [k] handle_mm_fault
     0.02%  db_bench      [kernel.kallsyms]    [k] mod_memcg_lruvec_state
     0.02%  db_bench      db_bench             [.] rocksdb::clock_cache::ClockCacheShard<rocksdb::clock_cache::AutoHyperClockTable>::Insert(rocksdb::Slice const&, std::array<unsigned long, 2ul> const&, void*, rocksdb::Cache::CacheItemHelper const*, unsigned long, rocksdb::clock_cache::AutoHyperClockTable::HandleImpl**, rocksdb::Cache::Priority)
     0.01%  db_bench      [kernel.kallsyms]    [k] get_mem_cgroup_from_mm
     0.01%  db_bench      db_bench             [.] rocksdb::ThreadLocalPtr::StaticMeta::GetThreadLocal()
     0.01%  db_bench      [kernel.kallsyms]    [k] futex_hash
     0.01%  db_bench      db_bench             [.] rocksdb::SetPerfLevel(rocksdb::PerfLevel)
     0.01%  db_bench      libc.so.6            [.] 0x0000000000074f70
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_prev_slot
     0.01%  db_bench      [kernel.kallsyms]    [k] __pte_offset_map_lock
     0.01%  db_bench      [kernel.kallsyms]    [k] _raw_spin_unlock
     0.01%  db_bench      libc.so.6            [.] __mprotect
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_store_prealloc
     0.01%  db_bench      libc.so.6            [.] 0x00000000000849be
     0.01%  db_bench      [kernel.kallsyms]    [k] commit_merge
     0.01%  db_bench      [kernel.kallsyms]    [k] perf_iterate_sb.constprop.0
     0.01%  db_bench      libc.so.6            [.] 0x00000000000849da
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_find
     0.01%  db_bench      [kernel.kallsyms]    [k] vma_modify
     0.01%  db_bench      db_bench             [.] operator delete[](void*)@plt
     0.01%  db_bench      libc.so.6            [.] 0x00000000000849bc
     0.01%  db_bench      [kernel.kallsyms]    [k] do_futex
     0.01%  db_bench      libc.so.6            [.] 0x0000000000083888
     0.01%  db_bench      libc.so.6            [.] 0x0000000000084194
     0.01%  db_bench      [kernel.kallsyms]    [k] sched_balance_update_blocked_averages
     0.01%  db_bench      libc.so.6            [.] 0x0000000000083f78
     0.01%  db_bench      [kernel.kallsyms]    [k] try_charge_memcg
     0.01%  db_bench      db_bench             [.] rocksdb::Env::GetSystemClock() const
     0.01%  db_bench      libc.so.6            [.] 0x0000000000074f6c
     0.01%  db_bench      [kernel.kallsyms]    [k] __vma_start_write
     0.01%  db_bench      [kernel.kallsyms]    [k] css_rstat_updated
     0.01%  db_bench      [kernel.kallsyms]    [k] up_write
     0.01%  db_bench      [kernel.kallsyms]    [k] lock_vma_under_rcu
     0.01%  db_bench      libc.so.6            [.] __lll_lock_wake_private
     0.01%  db_bench      [kernel.kallsyms]    [k] rwsem_down_write_slowpath
     0.01%  db_bench      [kernel.kallsyms]    [k] down_write_killable
     0.01%  db_bench      libc.so.6            [.] 0x000000000008416c
     0.01%  db_bench      [kernel.kallsyms]    [k] count_memcg_events
     0.01%  db_bench      libc.so.6            [.] 0x00000000000836ac
     0.01%  db_bench      [kernel.kallsyms]    [k] __lruvec_stat_mod_folio
     0.01%  db_bench      libc.so.6            [.] 0x0000000000074f3c
     0.01%  db_bench      [kernel.kallsyms]    [k] make_vfsgid
     0.01%  db_bench      libc.so.6            [.] 0x00000000000849cc
     0.01%  db_bench      db_bench             [.] std::__uniq_ptr_impl<char, rocksdb::CacheAllocationDeleter>::operator=(std::__uniq_ptr_impl<char, rocksdb::CacheAllocationDeleter>&&) [clone .isra.0]
     0.01%  db_bench      libc.so.6            [.] 0x000000000007ef86
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_next_slot
     0.01%  db_bench      [kernel.kallsyms]    [k] get_futex_key
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_wr_spanning_store
     0.01%  db_bench      [kernel.kallsyms]    [k] __riscv_sys_futex
     0.01%  db_bench      [kernel.kallsyms]    [k] futex_private_hash_put
     0.01%  db_bench      [kernel.kallsyms]    [k] vma_prepare
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_wr_store_entry
     0.01%  db_bench      [kernel.kallsyms]    [k] __alloc_frozen_pages_noprof
     0.01%  db_bench      [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_topiary_replace
     0.01%  db_bench      [kernel.kallsyms]    [k] blk_cgroup_congested
     0.01%  db_bench      [kernel.kallsyms]    [k] mprotect_fixup
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_preallocate
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_prev_setup.constprop.0
     0.01%  db_bench      libc.so.6            [.] 0x000000000008df96
     0.01%  db_bench      [kernel.kallsyms]    [k] __futex_wait
     0.01%  db_bench      [kernel.kallsyms]    [k] may_expand_vm
     0.01%  db_bench      [kernel.kallsyms]    [k] mab_mas_cp
     0.01%  db_bench      [kernel.kallsyms]    [k] vma_complete
     0.01%  db_bench      libc.so.6            [.] 0x000000000008259a
     0.01%  db_bench      libc.so.6            [.] 0x000000000008df5a
     0.01%  db_bench      libc.so.6            [.] 0x0000000000083f8e
     0.01%  db_bench      libc.so.6            [.] 0x0000000000082624
     0.01%  db_bench      [kernel.kallsyms]    [k] __riscv_sys_mprotect
     0.01%  db_bench      [kernel.kallsyms]    [k] __mem_cgroup_charge
     0.01%  db_bench      [kernel.kallsyms]    [k] strnlen
     0.01%  db_bench      [kernel.kallsyms]    [k] static_key_count
     0.01%  db_bench      libc.so.6            [.] 0x0000000000074fa8
     0.01%  db_bench      libc.so.6            [.] 0x00000000000825a6
     0.01%  db_bench      libc.so.6            [.] 0x0000000000074f9e
     0.01%  db_bench      [kernel.kallsyms]    [k] do_raw_spin_trylock
     0.01%  db_bench      libc.so.6            [.] 0x00000000000826b2
     0.01%  db_bench      [kernel.kallsyms]    [k] p4d_offset
     0.01%  db_bench      [kernel.kallsyms]    [k] __folio_batch_add_and_move
     0.01%  db_bench      libc.so.6            [.] 0x000000000008388a
     0.01%  db_bench      db_bench             [.] rocksdb::Hash64(char const*, unsigned long)
     0.01%  db_bench      libc.so.6            [.] 0x000000000008259e
     0.01%  db_bench      [kernel.kallsyms]    [k] cap_capable
     0.01%  db_bench      [kernel.kallsyms]    [k] _raw_spin_unlock_irq
     0.01%  db_bench      libc.so.6            [.] 0x000000000008264a
     0.01%  db_bench      [kernel.kallsyms]    [k] down_write
     0.01%  db_bench      libc.so.6            [.] 0x0000000000084382
     0.01%  db_bench      [kernel.kallsyms]    [k] mas_spanning_rebalance
     0.01%  db_bench      [kernel.kallsyms]    [k] futex_wait_setup
     0.01%  db_bench      libc.so.6            [.] 0x0000000000083700
     0.00%  db_bench      libc.so.6            [.] 0x000000000008371a
     0.00%  db_bench      [kernel.kallsyms]    [k] vm_stat_account
     0.00%  db_bench      [kernel.kallsyms]    [k] charge_memcg
     0.00%  db_bench      [kernel.kallsyms]    [k] perf_event_mmap_output
     0.00%  db_bench      [kernel.kallsyms]    [k] folio_add_new_anon_rmap
     0.00%  db_bench      [kernel.kallsyms]    [k] security_vm_enough_memory_mm
     0.00%  db_bench      libc.so.6            [.] 0x000000000008401e
     0.00%  db_bench      [kernel.kallsyms]    [k] osq_unlock
     0.00%  db_bench      [kernel.kallsyms]    [k] tlb_gather_mmu
     0.00%  db_bench      [kernel.kallsyms]    [k] update_mmu_cache_range.isra.0
     0.00%  db_bench      [kernel.kallsyms]    [k] strlen_zbb
     0.00%  db_bench      libc.so.6            [.] 0x00000000000849ce
     0.00%  db_bench      libc.so.6            [.] 0x000000000008df94
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084022
     0.00%  db_bench      libc.so.6            [.] 0x00000000000826b6
     0.00%  db_bench      [kernel.kallsyms]    [k] futex_q_lock
     0.00%  db_bench      libc.so.6            [.] 0x000000000008441c
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f76
     0.00%  db_bench      [kernel.kallsyms]    [k] vma_set_page_prot
     0.00%  db_bench      [kernel.kallsyms]    [k] cap_vm_enough_memory
     0.00%  db_bench      [kernel.kallsyms]    [k] vma_modify_flags
     0.00%  db_bench      [kernel.kallsyms]    [k] tlb_finish_mmu
     0.00%  db_bench      libc.so.6            [.] 0x0000000000082596
     0.00%  db_bench      [kernel.kallsyms]    [k] __kmem_cache_alloc_bulk
     0.00%  db_bench      [kernel.kallsyms]    [k] futex_wake
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f34
     0.00%  db_bench      [kernel.kallsyms]    [k] mas_prev
     0.00%  db_bench      [kernel.kallsyms]    [k] _raw_spin_lock
     0.00%  db_bench      [kernel.kallsyms]    [k] tlb_flush_mmu_tlbonly
     0.00%  db_bench      [kernel.kallsyms]    [k] pte_offset_map_rw_nolock
     0.00%  db_bench      [kernel.kallsyms]    [k] ___pte_offset_map
     0.00%  db_bench      [kernel.kallsyms]    [k] vm_get_page_prot
     0.00%  db_bench      libc.so.6            [.] 0x00000000000849dc
     0.00%  db_bench      [kernel.kallsyms]    [k] mas_ascend
     0.00%  db_bench      [kernel.kallsyms]    [k] mas_leaf_max_gap
     0.00%  db_bench      [kernel.kallsyms]    [k] vma_adjust_trans_huge
     0.00%  db_bench      libc.so.6            [.] 0x000000000008df9c
     0.00%  db_bench      libc.so.6            [.] 0x00000000000849c0
     0.00%  db_bench      [kernel.kallsyms]    [k] futex_get_value_locked
     0.00%  db_bench      [kernel.kallsyms]    [k] rseq_get_rseq_cs_ptr_val
     0.00%  db_bench      [kernel.kallsyms]    [k] anon_vma_interval_tree_insert
     0.00%  db_bench      [kernel.kallsyms]    [k] init_multi_vma_prep
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f42
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084418
     0.00%  db_bench      [kernel.kallsyms]    [k] folio_prealloc.isra.0
     0.00%  db_bench      [kernel.kallsyms]    [k] __build_id_parse.isra.0
     0.00%  db_bench      [kernel.kallsyms]    [k] can_vma_merge_left.constprop.0
     0.00%  db_bench      [kernel.kallsyms]    [k] kvfree_call_rcu
     0.00%  db_bench      [kernel.kallsyms]    [k] __kfree_rcu_sheaf
     0.00%  db_bench      [kernel.kallsyms]    [k] khugepaged_enter_vma
     0.00%  db_bench      libc.so.6            [.] 0x000000000008dfa0
     0.00%  db_bench      [kernel.kallsyms]    [k] futex_setup_timer
     0.00%  db_bench      [kernel.kallsyms]    [k] futex_wait
     0.00%  db_bench      libc.so.6            [.] 0x00000000000842ae
     0.00%  db_bench      libc.so.6            [.] 0x00000000000849ec
     0.00%  db_bench      [kernel.kallsyms]    [k] anon_vma_interval_tree_remove
     0.00%  db_bench      libc.so.6            [.] 0x0000000000082652
     0.00%  db_bench      [kernel.kallsyms]    [k] __vm_enough_memory
     0.00%  db_bench      libc.so.6            [.] 0x00000000000849de
     0.00%  db_bench      [kernel.kallsyms]    [k] security_file_mprotect
     0.00%  db_bench      [kernel.kallsyms]    [k] kernel_init_pages
     0.00%  db_bench      libc.so.6            [.] 0x000000000008df70
     0.00%  db_bench      [kernel.kallsyms]    [k] apparmor_file_mprotect
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f0a
     0.00%  db_bench      libc.so.6            [.] 0x00000000000837ec
     0.00%  db_bench      [kernel.kallsyms]    [k] mas_mab_cp
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083590
     0.00%  db_bench      libc.so.6            [.] 0x000000000008df98
     0.00%  db_bench      libc.so.6            [.] 0x00000000000840e8
     0.00%  db_bench      libc.so.6            [.] 0x000000000008401a
     0.00%  db_bench      [kernel.kallsyms]    [k] handle_softirqs
     0.00%  db_bench      [kernel.kallsyms]    [k] hugepage_pmd_enabled
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f52
     0.00%  db_bench      libc.so.6            [.] 0x000000000008df7e
     0.00%  db_bench      libc.so.6            [.] 0x00000000000849fa
     0.00%  db_bench      [kernel.kallsyms]    [k] __rb_insert_augmented
     0.00%  db_bench      [kernel.kallsyms]    [k] rb_next
     0.00%  db_bench      [kernel.kallsyms]    [k] dynamic_might_resched
     0.00%  db_bench      [kernel.kallsyms]    [k] vma_wants_writenotify
     0.00%  db_bench      libc.so.6            [.] 0x000000000008335c
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083574
     0.00%  db_bench      [kernel.kallsyms]    [k] kmem_cache_alloc_from_sheaf_noprof
     0.00%  db_bench      [kernel.kallsyms]    [k] mtree_range_walk
     0.00%  db_bench      [kernel.kallsyms]    [k] kmem_cache_prefill_sheaf
     0.00%  db_bench      libc.so.6            [.] 0x000000000007ef80
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074fae
     0.00%  db_bench      [kernel.kallsyms]    [k] futex_q_unlock
     0.00%  db_bench      libc.so.6            [.] 0x00000000000849d6
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083564
     0.00%  db_bench      libc.so.6            [.] 0x0000000000082610
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084386
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084a06
     0.00%  db_bench      libc.so.6            [.] 0x000000000008335e
     0.00%  db_bench      [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.00%  db_bench      libc.so.6            [.] 0x00000000000841ce
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f74
     0.00%  db_bench      libc.so.6            [.] 0x0000000000082632
     0.00%  db_bench      libc.so.6            [.] 0x000000000007ef74
     0.00%  db_bench      [kernel.kallsyms]    [k] folio_add_lru_vma
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084464
     0.00%  db_bench      [kernel.kallsyms]    [k] kthread_blkcg
     0.00%  db_bench      [kernel.kallsyms]    [k] folio_add_lru
     0.00%  db_bench      libc.so.6            [.] 0x00000000000842b6
     0.00%  db_bench      [kernel.kallsyms]    [k] __folio_throttle_swaprate
     0.00%  db_bench      [kernel.kallsyms]    [k] folios_put_refs
     0.00%  db_bench      [kernel.kallsyms]    [k] anon_vma_name
     0.00%  db_bench      [kernel.kallsyms]    [k] sized_strscpy
     0.00%  db_bench      libc.so.6            [.] 0x00000000000825a2
     0.00%  db_bench      [kernel.kallsyms]    [k] __lock_text_start
     0.00%  db_bench      libc.so.6            [.] 0x00000000000835c8
     0.00%  db_bench      [kernel.kallsyms]    [k] ___slab_alloc
     0.00%  db_bench      [kernel.kallsyms]    [k] finish_rcuwait
     0.00%  db_bench      [kernel.kallsyms]    [k] build_id_parse_nofault
     0.00%  db_bench      libc.so.6            [.] 0x000000000008353c
     0.00%  db_bench      libc.so.6            [.] 0x00000000000836ae
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083fd6
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084466
     0.00%  db_bench      libc.so.6            [.] 0x00000000000849e0
     0.00%  db_bench      libc.so.6            [.] 0x0000000000082656
     0.00%  db_bench      libc.so.6            [.] 0x0000000000082628
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084288
     0.00%  db_bench      libc.so.6            [.] 0x000000000008354e
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084a20
     0.00%  db_bench      [kernel.kallsyms]    [k] __schedule
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f98
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f36
     0.00%  db_bench      libc.so.6            [.] 0x00000000000836b4
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f30
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083354
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083fe4
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083368
     0.00%  db_bench      libc.so.6            [.] 0x000000000008366a
     0.00%  db_bench      libc.so.6            [.] 0x00000000000825cc
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f58
     0.00%  db_bench      libc.so.6            [.] 0x0000000000082664
     0.00%  db_bench      [kernel.kallsyms]    [k] mas_alloc_nodes
     0.00%  db_bench      libc.so.6            [.] 0x00000000000841cc
     0.00%  db_bench      [kernel.kallsyms]    [k] mem_cgroup_from_task
     0.00%  db_bench      libc.so.6            [.] 0x00000000000835c0
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084a0a
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083fba
     0.00%  db_bench      [kernel.kallsyms]    [k] arch_vma_name
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f28
     0.00%  db_bench      [kernel.kallsyms]    [k] pud_offset
     0.00%  db_bench      libc.so.6            [.] 0x000000000008427c
     0.00%  db_bench      [kernel.kallsyms]    [k] is_mergeable_anon_vma
     0.00%  db_bench      libc.so.6            [.] 0x00000000000847c4
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f94
     0.00%  db_bench      db_bench             [.] __clzdi2@plt
     0.00%  db_bench      libc.so.6            [.] 0x000000000008318e
     0.00%  db_bench      [kernel.kallsyms]    [k] __folio_mod_stat
     0.00%  db_bench      [kernel.kallsyms]    [k] rcu_core
     0.00%  db_bench      [kernel.kallsyms]    [k] mas_data_end
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083550
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084742
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f64
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083704
     0.00%  db_bench      libc.so.6            [.] 0x00000000000847e2
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f18
     0.00%  db_bench      libc.so.6            [.] 0x000000000008370c
     0.00%  db_bench      libc.so.6            [.] 0x000000000008451e
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f60
     0.00%  db_bench      [kernel.kallsyms]    [k] wake_up_q
     0.00%  db_bench      [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084164
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083650
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083186
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f4e
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f80
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074f80
     0.00%  db_bench      libc.so.6            [.] 0x000000000008353e
     0.00%  db_bench      [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.00%  db_bench      libc.so.6            [.] 0x000000000008438c
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f0c
     0.00%  db_bench      libc.so.6            [.] 0x000000000008df7a
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f20
     0.00%  db_bench      libc.so.6            [.] 0x0000000000082592
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083f68
     0.00%  db_bench      libc.so.6            [.] 0x0000000000084a16
     0.00%  db_bench      [kernel.kallsyms]    [k] __vmf_anon_prepare
     0.00%  db_bench      [kernel.kallsyms]    [k] is_vmalloc_addr
     0.00%  db_bench      [kernel.kallsyms]    [k] schedule
     0.00%  db_bench      libc.so.6            [.] 0x000000000008440c
     0.00%  db_bench      libc.so.6            [.] 0x000000000008428c
     0.00%  db_bench      [kernel.kallsyms]    [k] __mod_node_page_state
     0.00%  db_bench      [kernel.kallsyms]    [k] futex_hash_put
     0.00%  db_bench      [kernel.kallsyms]    [k] __futex_unqueue
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083804
     0.00%  db_bench      libc.so.6            [.] 0x0000000000083fe2
     0.00%  db_bench      libc.so.6            [.] 0x00000000000842b2
     0.00%  db_bench      libgcc_s.so.1        [.] __clzdi2
     0.00%  db_bench      libc.so.6            [.] 0x0000000000074fac
