# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 172K of event 'cycles:P'
# Event count (approx.): 825463650699
#
# Overhead  Command       Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ............  ...................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.27%  rocksdb:low   db_bench             [.] rocksdb::CompactionOutputs::ShouldStopBefore(rocksdb::CompactionIterator const&)
     0.27%  db_bench      [kernel.kallsyms]    [k] __rcu_read_lock
     0.26%  rocksdb:low   libc.so.6            [.] 0x000000000008dea2
     0.26%  db_bench      libc.so.6            [.] memset
     0.26%  db_bench      db_bench             [.] memcpy@plt
     0.25%  db_bench      db_bench             [.] rocksdb::DBImpl::WriteToWAL(rocksdb::WriteBatch const&, rocksdb::WriteOptions const&, rocksdb::log::Writer*, unsigned long*, unsigned long*, rocksdb::DBImpl::WalFileNumberSize&, unsigned long)
     0.25%  db_bench      [kernel.kallsyms]    [k] filemap_get_entry
     0.25%  db_bench      db_bench             [.] rocksdb::WriteBatchInternal::Put(rocksdb::WriteBatch*, unsigned int, rocksdb::Slice const&, rocksdb::Slice const&)
     0.25%  rocksdb:low   db_bench             [.] rocksdb::CompactionOutputs::UpdateGrandparentBoundaryInfo(rocksdb::Slice const&)
     0.24%  rocksdb:high  db_bench             [.] XXH3_hashLong_64b_default.constprop.0
     0.24%  rocksdb:low   db_bench             [.] rocksdb::FullFilterBlockBuilder::Add(rocksdb::Slice const&)
     0.24%  db_bench      [kernel.kallsyms]    [k] ktime_get_coarse_real_ts64_mg
     0.24%  db_bench      db_bench             [.] rocksdb::WriteThread::LinkOne(rocksdb::WriteThread::Writer*, std::atomic<rocksdb::WriteThread::Writer*>*)
     0.23%  db_bench      [kernel.kallsyms]    [k] __might_sleep
     0.23%  db_bench      db_bench             [.] rocksdb::WriteBatchInternal::InsertInto(rocksdb::WriteThread::WriteGroup&, unsigned long, rocksdb::ColumnFamilyMemTables*, rocksdb::FlushScheduler*, rocksdb::TrimHistoryScheduler*, bool, unsigned long, rocksdb::DB*, bool, bool)
     0.23%  db_bench      db_bench             [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::~_Hashtable()
     0.23%  rocksdb:high  libc.so.6            [.] 0x000000000008de98
     0.22%  db_bench      db_bench             [.] rocksdb::log::Writer::EmitPhysicalRecord(rocksdb::WriteOptions const&, rocksdb::log::RecordType, char const*, unsigned long)
     0.22%  db_bench      [kernel.kallsyms]    [k] ext4_da_write_begin
     0.22%  db_bench      db_bench             [.] rocksdb::WriteBatch::Clear()
     0.22%  db_bench      [kernel.kallsyms]    [k] ext4_da_write_end
     0.22%  db_bench      db_bench             [.] rocksdb::WriteThread::ExitAsMemTableWriter(rocksdb::WriteThread::Writer*, rocksdb::WriteThread::WriteGroup&)
     0.22%  db_bench      libc.so.6            [.] 0x000000000008de98
     0.22%  db_bench      [kernel.kallsyms]    [k] up_write
     0.22%  db_bench      db_bench             [.] TLS init function for rocksdb::iostats_context
     0.22%  rocksdb:high  db_bench             [.] rocksdb::BlockBasedTableBuilder::Add(rocksdb::Slice const&, rocksdb::Slice const&)
     0.21%  db_bench      db_bench             [.] TLS init function for rocksdb::perf_context
     0.21%  db_bench      [kernel.kallsyms]    [k] _raw_spin_unlock_irqrestore
     0.21%  db_bench      libc.so.6            [.] pthread_mutex_lock
     0.21%  db_bench      [kernel.kallsyms]    [k] __filemap_get_folio
     0.20%  db_bench      [kernel.kallsyms]    [k] xas_load
     0.20%  rocksdb:low   db_bench             [.] rocksdb::EncodeVarint32(char*, unsigned int)
     0.20%  rocksdb:low   db_bench             [.] rocksdb::CompactionIterator::PrepareOutput()
     0.20%  db_bench      [kernel.kallsyms]    [k] _raw_spin_unlock_irq
     0.19%  rocksdb:low   db_bench             [.] ROCKSDB_XXPH3_64bits
     0.19%  db_bench      db_bench             [.] rocksdb::WriteThread::EnterAsMemTableWriter(rocksdb::WriteThread::Writer*, rocksdb::WriteThread::WriteGroup*)
     0.19%  rocksdb:low   db_bench             [.] rocksdb::SubcompactionState::AddToOutput(rocksdb::CompactionIterator const&, bool, std::function<rocksdb::Status (rocksdb::CompactionOutputs&)> const&, std::function<rocksdb::Status (rocksdb::Status const&, rocksdb::ParsedInternalKey const&, rocksdb::Slice const&, rocksdb::CompactionIterator const*, rocksdb::CompactionOutputs&)> const&, rocksdb::ParsedInternalKey const&)
     0.19%  db_bench      db_bench             [.] rocksdb::GetLengthPrefixedSlice(rocksdb::Slice*, rocksdb::Slice*)
     0.19%  db_bench      [kernel.kallsyms]    [k] generic_perform_write
     0.18%  rocksdb:low   db_bench             [.] TLS init function for rocksdb::perf_context
     0.18%  db_bench      db_bench             [.] rocksdb::WriteBatchInternal::GetColumnFamilyIdAndTimestampSize(rocksdb::WriteBatch*, rocksdb::ColumnFamilyHandle*)
     0.18%  db_bench      db_bench             [.] rocksdb::DBImpl::MergeBatch(rocksdb::WriteThread::WriteGroup const&, rocksdb::WriteBatch*, rocksdb::WriteBatch**, unsigned long*, rocksdb::WriteBatch**)
     0.18%  db_bench      db_bench             [.] rocksdb::WriteBatch::Put(rocksdb::ColumnFamilyHandle*, rocksdb::Slice const&, rocksdb::Slice const&)
     0.18%  db_bench      db_bench             [.] rocksdb::EncodeVarint32(char*, unsigned int)
     0.18%  rocksdb:low   db_bench             [.] rocksdb::CompactionIterator::InvokeFilterIfNeeded(bool*, rocksdb::Slice*)
     0.17%  db_bench      [kernel.kallsyms]    [k] ext4_file_write_iter
     0.17%  db_bench      db_bench             [.] rocksdb::SuperVersionContext::Clean()
     0.17%  rocksdb:low   db_bench             [.] rocksdb::BlockBasedTableIterator::value() const
     0.17%  db_bench      [kernel.kallsyms]    [k] ext4_inode_journal_mode
     0.17%  db_bench      [kernel.kallsyms]    [k] down_write
     0.17%  db_bench      db_bench             [.] rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::RecomputeSpliceLevels(rocksdb::Slice const&, rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::Splice*, int) const
