RESULT pgo-Bread readrandom   :      10.656 micros/op 563394 ops/sec 28.399 seconds 16000000 operations;   42.3 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.468 micros/op 472241 ops/sec 33.881 seconds 16000000 operations;   35.4 MB/s (2000000 of 2000000 found)
RESULT pgo-Aseek seekrandom   :      73.440 micros/op 108322 ops/sec 36.927 seconds 4000000 operations;  119.8 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :      86.769 micros/op 91404 ops/sec 43.761 seconds 4000000 operations;  101.1 MB/s (408308 of 500000 found)
RESULT base-Bread readrandom   :      12.374 micros/op 484997 ops/sec 32.990 seconds 16000000 operations;   36.4 MB/s (2000000 of 2000000 found)
RESULT pgo-Bread readrandom   :      10.700 micros/op 559566 ops/sec 28.594 seconds 16000000 operations;   42.0 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :      86.854 micros/op 91083 ops/sec 43.916 seconds 4000000 operations;  100.8 MB/s (408308 of 500000 found)
RESULT pgo-Aseek seekrandom   :      73.131 micros/op 107971 ops/sec 37.047 seconds 4000000 operations;  119.4 MB/s (408308 of 500000 found)
RESULT pgo-Bread readrandom   :      10.634 micros/op 563245 ops/sec 28.407 seconds 16000000 operations;   42.2 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.338 micros/op 484612 ops/sec 33.016 seconds 16000000 operations;   36.3 MB/s (2000000 of 2000000 found)
RESULT pgo-Aseek seekrandom   :      74.403 micros/op 106396 ops/sec 37.595 seconds 4000000 operations;  117.7 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :      86.704 micros/op 91421 ops/sec 43.753 seconds 4000000 operations;  101.1 MB/s (408308 of 500000 found)
RESULT base-Bread readrandom   :      12.508 micros/op 475650 ops/sec 33.638 seconds 16000000 operations;   35.7 MB/s (2000000 of 2000000 found)
RESULT pgo-Bread readrandom   :      10.647 micros/op 561450 ops/sec 28.498 seconds 16000000 operations;   42.1 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :      86.188 micros/op 92577 ops/sec 43.207 seconds 4000000 operations;  102.4 MB/s (408308 of 500000 found)
RESULT pgo-Aseek seekrandom   :      73.695 micros/op 107484 ops/sec 37.215 seconds 4000000 operations;  118.9 MB/s (408308 of 500000 found)
RESULT pgo-Bread readrandom   :      10.700 micros/op 558392 ops/sec 28.654 seconds 16000000 operations;   41.9 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.317 micros/op 484360 ops/sec 33.033 seconds 16000000 operations;   36.3 MB/s (2000000 of 2000000 found)
RESULT pgo-Aseek seekrandom   :      74.165 micros/op 107425 ops/sec 37.235 seconds 4000000 operations;  118.8 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :      86.268 micros/op 92088 ops/sec 43.436 seconds 4000000 operations;  101.9 MB/s (408308 of 500000 found)
RESULT W fillrandom   :      10.233 micros/op 97722 ops/sec 204.661 seconds 20000000 operations;   10.8 MB/s
RESULT W fillrandom   :      12.244 micros/op 81672 ops/sec 244.880 seconds 20000000 operations;    9.0 MB/s
RESULT base-fill fillrandom   :      12.086 micros/op 82742 ops/sec 241.713 seconds 20000000 operations;    9.2 MB/s
RESULT pgo-fill fillrandom   :      11.418 micros/op 87584 ops/sec 228.350 seconds 20000000 operations;    9.7 MB/s
RESULT pgo-fill fillrandom   :      11.065 micros/op 90375 ops/sec 221.298 seconds 20000000 operations;   10.0 MB/s
RESULT base-fill fillrandom   :      12.449 micros/op 80326 ops/sec 248.983 seconds 20000000 operations;    8.9 MB/s
RESULT base-fill fillrandom   :      12.376 micros/op 80800 ops/sec 247.524 seconds 20000000 operations;    8.9 MB/s
RESULT pgo-fill fillrandom   :      10.618 micros/op 94177 ops/sec 212.366 seconds 20000000 operations;   10.4 MB/s
RESULT pgo-fill fillrandom   :      11.019 micros/op 90752 ops/sec 220.381 seconds 20000000 operations;   10.0 MB/s
RESULT base-fill fillrandom   :      12.091 micros/op 82705 ops/sec 241.823 seconds 20000000 operations;    9.1 MB/s
RESULT base-fill fillrandom   :      13.160 micros/op 75988 ops/sec 263.196 seconds 20000000 operations;    8.4 MB/s
RESULT pgo-fill fillrandom   :      11.218 micros/op 89140 ops/sec 224.364 seconds 20000000 operations;    9.9 MB/s
RESULT pgo-fill fillrandom   :      11.230 micros/op 89047 ops/sec 224.598 seconds 20000000 operations;    9.9 MB/s
RESULT base-fill fillrandom   :      12.919 micros/op 77406 ops/sec 258.377 seconds 20000000 operations;    8.6 MB/s
